time,cuboidLeft.Phi.re,cuboidLeft.Phi.im,source.port_p.reference.gamma
0.61,2.920185173e-11,0,191.6371519
0.611,2.924972362e-11,0,191.9513111
0.612,2.929759551e-11,0,192.2654704
0.613,2.934546739e-11,0,192.5796297
0.614,2.939333928e-11,0,192.8937889
0.615,2.944121117e-11,0,193.2079482
0.616,2.948908306e-11,0,193.5221075
0.617,2.953695495e-11,0,193.8362667
0.618,2.958482683e-11,0,194.150426
0.619,2.963269872e-11,0,194.4645853
0.62,2.968057061e-11,0,194.7787445
0.621,2.97284425e-11,0,195.0929038
0.622,2.977631439e-11,0,195.4070631
0.623,2.982418627e-11,0,195.7212223
0.624,2.987205816e-11,0,196.0353816
0.625,2.991993005e-11,0,196.3495408
0.626,2.996780194e-11,0,196.6637001
0.627,3.001567383e-11,0,196.9778594
0.628,3.006354571e-11,0,197.2920186
0.629,3.01114176e-11,0,197.6061779
0.63,3.015928949e-11,0,197.9203372
0.631,3.020716138e-11,0,198.2344964
0.632,3.025503327e-11,0,198.5486557
0.633,3.030290516e-11,0,198.862815
0.634,3.035077704e-11,0,199.1769742
0.635,3.039864893e-11,0,199.4911335
0.636,3.044652082e-11,0,199.8052928
0.637,3.049439271e-11,0,200.119452
0.638,3.05422646e-11,0,200.4336113
0.639,3.059013648e-11,0,200.7477706
0.64,3.063800837e-11,0,201.0619298
0.641,3.068588026e-11,0,201.3760891
0.642,3.073375215e-11,0,201.6902484
0.643,3.078162404e-11,0,202.0044076
0.644,3.082949592e-11,0,202.3185669
0.645,3.087736781e-11,0,202.6327262
0.646,3.09252397e-11,0,202.9468854
0.647,3.097311159e-11,0,203.2610447
0.648,3.102098348e-11,0,203.575204
0.649,3.106885536e-11,0,203.8893632
0.65,3.111672725e-11,0,204.2035225
0.651,3.116459914e-11,0,204.5176817
0.652,3.121247103e-11,0,204.831841
0.653,3.126034292e-11,0,205.1460003
0.654,3.13082148e-11,0,205.4601595
0.655,3.135608669e-11,0,205.7743188
0.656,3.140395858e-11,0,206.0884781
