time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0.0805,299.130668,299.1752497,0.000139324,294.9418864,295.1745764,0.000748972,293.4884082,293.3565554,0.000431206
0.081,299.1596949,299.2052226,0.00014228,294.9583586,295.1946007,0.000760405,293.4934551,293.3595313,0.000437979
0.0815,299.1886594,299.2351459,0.000145277,294.974852,295.2146744,0.000771929,293.4985387,293.3625265,0.000444808
0.082,299.217562,299.2650203,0.000148314,294.9913659,295.234797,0.000783545,293.5036586,293.3655411,0.000451694
0.0825,299.246403,299.2948461,0.000151392,295.0079,295.2549682,0.000795252,293.508815,293.368575,0.000458635
0.083,299.2751829,299.324624,0.00015451,295.0244538,295.2751873,0.000807049,293.5140077,293.371628,0.000465633
0.0835,299.3039021,299.3543542,0.00015767,295.0410268,295.295454,0.000818938,293.5192365,293.3747,0.000472686
0.084,299.332561,299.3840374,0.000160871,295.0576187,295.3157678,0.000830918,293.5245014,293.377791,0.000479795
0.0845,299.36116,299.4136739,0.000164113,295.0742289,295.3361282,0.000842989,293.5298022,293.3809008,0.000486961
0.085,299.3896995,299.4432642,0.000167397,295.090857,295.3565347,0.000855151,293.5351389,293.3840295,0.000494182
0.0855,299.4181798,299.4728087,0.000170723,295.1075026,295.376987,0.000867404,293.5405113,293.3871768,0.000501459
0.086,299.4466013,299.5023079,0.000174091,295.1241653,295.3974846,0.000879748,293.5459193,293.3903426,0.000508791
0.0865,299.4749644,299.5317623,0.000177502,295.1408446,295.418027,0.000892182,293.5513628,293.393527,0.00051618
0.087,299.5032695,299.5611723,0.000180954,295.1575402,295.4386137,0.000904707,293.5568417,293.3967298,0.000523623
0.0875,299.531517,299.5905383,0.00018445,295.1742517,295.4592445,0.000917322,293.5623559,293.3999509,0.000531123
0.088,299.5597071,299.6198607,0.000187989,295.1909786,295.4799187,0.000930027,293.5679052,293.4031902,0.000538677
0.0885,299.5878402,299.64914,0.000191571,295.2077206,295.500636,0.000942823,293.5734895,293.4064475,0.000546287
0.089,299.6159168,299.6783767,0.000195196,295.2244773,295.521396,0.000955708,293.5791087,293.409723,0.000553952
0.0895,299.6439371,299.707571,0.000198865,295.2412483,295.5421982,0.000968684,293.5847627,293.4130163,0.000561672
0.09,299.6719014,299.7367236,0.000202578,295.2580332,295.5630423,0.000981749,293.5904513,293.4163275,0.000569447
0.0905,299.6998102,299.7658347,0.000206336,295.2748317,295.5839277,0.000994904,293.5961744,293.4196564,0.000577277
0.091,299.7276637,299.7949047,0.000210138,295.2916435,295.6048541,0.00100815,293.6019319,293.4230029,0.000585162
0.0915,299.7554623,299.8239342,0.000213985,295.3084681,295.6258212,0.00102148,293.6077237,293.426367,0.000593101
0.092,299.7832063,299.8529235,0.000217876,295.3253051,295.6468283,0.0010349,293.6135496,293.4297486,0.000601095
0.0925,299.8108962,299.8818729,0.000221812,295.342154,295.6678753,0.00104842,293.6194097,293.4331475,0.000609144
0.093,299.8385322,299.910783,0.000225794,295.3590147,295.6889616,0.00106202,293.6253035,293.4365637,0.000617247
0.0935,299.8661145,299.939654,0.000229821,295.3758869,295.7100869,0.00107571,293.6312311,293.439997,0.000625404
0.094,299.8936435,299.9684865,0.000233895,295.3927702,295.7312508,0.00108949,293.6371923,293.4434474,0.000633615
0.0945,299.9211195,299.9972807,0.000238015,295.4096644,295.7524528,0.00110335,293.643187,293.4469148,0.00064188
0.095,299.9485426,300.0260371,0.000242181,295.426569,295.7736927,0.00111731,293.649215,293.4503991,0.000650199
