time,m4.v,m4.s,m3.v,m3.s,m2.v,m2.s,m1.v,m1.s,sd2.s_rel,sd1.s_rel,sd2.v_rel,sd1.v_rel
4.357476911,0,12.5,0,4.5,-0.6699533031,2.919239431,0.9785242895,0.4855298679,4,0.9337095633,0,-1.648477593
4.381908228,0,12.5,0,4.5,-0.4026589518,2.905959638,0.7765142283,0.5082913596,4,0.8976682788,0,-1.17917318
4.409980483,0,12.5,0,4.5,-0.0308346891,2.899826859,-0.03888211232,0.5194352116,4,0.880391647,0,0.008047423226
4.430983,0,12.5,0,4.5,0.2304355697,2.901995463,-0.6512150871,0.5118337172,4,0.8901617456,0,0.8816506568
4.454301309,0,12.5,0,4.5,0.4537546399,2.910136241,-0.9354465749,0.4922749524,4,0.9178612889,0,1.389201215
4.479018317,0,12.5,0,4.5,0.5983212498,2.923321149,-0.6199670608,0.471815253,4,0.9515058956,0,1.218288311
4.505566139,0,12.5,0,4.5,0.6785980341,2.940381198,0.1796507923,0.465482586,4,0.9748986116,0,0.4989472417
4.526640291,0,12.5,0,4.5,0.7255715685,2.955174273,0.7723883012,0.4759057534,4,0.9792685195,0,-0.04681673269
4.550638626,0,12.5,0,4.5,0.7903991554,2.973329989,1.02555469,0.498615136,4,0.9747148534,0,-0.2351555345
4.576043024,0,12.5,0,4.5,0.868469045,2.994412888,0.6737163074,0.5214282066,4,0.9729846814,0,0.1947527377
4.601969024,0,12.5,0,4.5,0.9142258706,3.017661139,-0.07480331986,0.5295088571,4,0.988152282,0,0.9890291904
4.627895023,0,12.5,0,4.5,0.868682138,3.041018872,-0.6895825681,0.5187413369,4,1.022277535,0,1.558264706
4.653821023,0,12.5,0,4.5,0.7045606176,3.061662675,-0.7543122941,0.4986321662,4,1.063030509,0,1.458872912
4.685092478,0,12.5,0,4.5,0.3887037091,3.078971812,-0.1083057707,0.4836877596,4,1.095284053,0,0.4970094798
4.708267103,0,12.5,0,4.5,0.1362763219,3.085022631,0.4946925199,0.4884108656,4,1.096611765,0,-0.358416198
4.732354518,0,12.5,0,4.5,-0.08712536328,3.085500242,0.8120252119,0.5050778696,4,1.080422373,0,-0.8991505752
4.757840333,0,12.5,0,4.5,-0.2571867831,3.080971466,0.5969242504,0.5242224343,4,1.056749032,0,-0.8541110335
4.786211755,0,12.5,0,4.5,-0.3885033175,3.071726144,-0.1131200536,0.5316793933,4,1.04004675,0,-0.275383264
4.80795189,0,12.5,0,4.5,-0.4811827969,3.062286048,-0.6374748497,0.5231689288,4,1.039117119,0,0.1562920527
4.832491625,0,12.5,0,4.5,-0.6016597621,3.049040273,-0.8589333211,0.5037844968,4,1.045255776,0,0.257273559
4.858512598,0,12.5,0,4.5,-0.7399653722,3.031573021,-0.5488096335,0.4843734511,4,1.04719957,0,-0.1911557387
4.884533571,0,12.5,0,4.5,-0.8456262896,3.010811222,0.08153498981,0.4780681951,4,1.032743027,0,-0.9271612795
4.910554543,0,12.5,0,4.5,-0.8656244578,2.988316686,0.5788602544,0.4874274661,4,1.00088922,0,-1.444484712
4.936575516,0,12.5,0,4.5,-0.7746072422,2.966739895,0.6011102766,0.5039624729,4,0.9627774223,0,-1.375717519
4.964918189,0,12.5,0,4.5,-0.5746182997,2.947441317,0.1008032563,0.5148273987,4,0.9326139185,0,-0.675421556
4.987153719,0,12.5,0,4.5,-0.3888756696,2.936724624,-0.3971828947,0.5113945101,4,0.925330114,0,0.008307225078
5,0,12.5,0,4.5,-0.2857347161,2.932399258,-0.6075215211,0.5048430323,4,0.9275562261,0,0.3217868049
