time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0.0382,26.82730332,26.82730332,24.00176787,24.00176787,24.00176787
0.0383,26.90466087,26.90466087,24.06459973,24.06459973,24.06459973
0.0384,26.98205341,26.98205341,24.12743158,24.12743158,24.12743158
0.0385,27.05948091,27.05948091,24.19026343,24.19026343,24.19026343
0.0386,27.13694337,27.13694337,24.25309529,24.25309529,24.25309529
0.0387,27.21444074,27.21444074,24.31592714,24.31592714,24.31592714
0.0388,27.29197302,27.29197302,24.37875899,24.37875899,24.37875899
0.0389,27.36954017,27.36954017,24.44159084,24.44159084,24.44159084
0.039,27.44714217,27.44714217,24.5044227,24.5044227,24.5044227
0.0391,27.52477901,27.52477901,24.56725455,24.56725455,24.56725455
0.0392,27.60245065,27.60245065,24.6300864,24.6300864,24.6300864
