time,capacitor2.v,inductor2.i,cosineCurrent.phi,capacitor1.v,inductor1.i,sineCurrent.phi
0.0238,5.288894762,1.428863377,0.3559047485,0.6029480409,0.3424724169,0.3559047485
0.0239,4.970965032,1.456566536,0.3589018279,0.6067243894,0.3451925333,0.3589018279
0.024,4.635610611,1.482134211,0.3619114737,0.6105537152,0.3479279748,0.3619114737
0.0241,4.284185056,1.505469269,0.3649336858,0.6144317224,0.3506790063,0.3649336858
0.0242,3.918112076,1.526482795,0.3679684643,0.6183538806,0.3534458664,0.3679684643
0.0243,3.538885531,1.545094082,0.3710158092,0.6223154253,0.3562287669,0.3710158092
0.0244,3.148077679,1.56123068,0.3740757204,0.6263113281,0.3590278941,0.3740757204
0.0245,2.747338355,1.574831211,0.3771481981,0.6303362529,0.3618434214,0.3771481981
0.0246,2.338004155,1.585845356,0.380233242,0.6343859739,0.3646754416,0.380233242
0.0247,1.921802596,1.594234163,0.3833308524,0.6384548834,0.3675240423,0.3833308524
0.0248,1.500445697,1.599968961,0.3864410291,0.6425374087,0.3703892764,0.3864410291
0.0249,1.075629974,1.603031363,0.3895637722,0.6466280117,0.3732711622,0.3895637722
0.025,0.6490364485,1.603413266,0.3926990817,0.6507211892,0.3761696833,0.3926990817
0.0251,0.2223306386,1.601116848,0.3958469575,0.6548114727,0.3790847885,0.3958469575
0.0252,-0.2028374353,1.596154571,0.3990073997,0.6588934284,0.382016392,0.3990073997
0.0253,-0.6248332524,1.588549179,0.4021804083,0.6629616573,0.3849643732,0.4021804083
0.0254,-1.042037791,1.578333701,0.4053659833,0.6670107953,0.387928577,0.4053659833
0.0255,-1.45284753,1.565551447,0.4085641246,0.6710355129,0.3909088134,0.4085641246
0.0256,-1.855674446,1.550256009,0.4117748323,0.6750305154,0.3939048578,0.4117748323
0.0257,-2.248946016,1.532511264,0.4149981064,0.678990543,0.396916451,0.4149981064
0.0258,-2.631092005,1.512392527,0.4182339468,0.6829103208,0.3999433007,0.4182339468
0.0259,-3.000674575,1.489977589,0.4214823536,0.6867849945,0.4029851148,0.4214823536
0.026,-3.356345055,1.465353109,0.4247433268,0.6906099811,0.406041549,0.4247433268
