time,energy.y,superCap.capacitor.v
141.23,-133198.8153,41.9875695
141.24,-133198.8153,41.98756863
141.25,-133198.8153,41.98756775
141.26,-133198.8153,41.98756688
141.27,-133198.8153,41.987566
141.28,-133198.8153,41.98756513
141.29,-133198.8153,41.98756425
141.3,-133198.8153,41.98756338
141.31,-133198.8153,41.9875625
141.32,-133198.8153,41.98756163
141.33,-133198.8153,41.98756076
141.34,-133198.8153,41.98755988
141.35,-133198.8153,41.98755901
141.36,-133198.8153,41.98755813
141.37,-133198.8153,41.98755726
141.38,-133198.8153,41.98755638
141.39,-133198.8153,41.98755551
141.4,-133198.8153,41.98755463
141.41,-133198.8153,41.98755376
141.42,-133198.8153,41.98755288
141.43,-133198.8153,41.98755201
141.44,-133198.8153,41.98755113
141.45,-133198.8153,41.98755026
141.46,-133198.8153,41.98754938
141.47,-133198.8153,41.98754851
141.48,-133198.8153,41.98754763
141.49,-133198.8153,41.98754676
141.5,-133198.8153,41.98754588
141.51,-133198.8153,41.98754501
141.52,-133198.8153,41.98754414
141.53,-133198.8153,41.98754326
141.54,-133198.8153,41.98754239
141.55,-133198.8153,41.98754151
141.56,-133198.8153,41.98754064
141.57,-133198.8153,41.98753976
141.58,-133198.8153,41.98753889
141.59,-133198.8153,41.98753801
141.6,-133198.8153,41.98753714
141.61,-133198.8153,41.98753626
141.62,-133198.8153,41.98753539
141.63,-133198.8153,41.98753451
141.64,-133198.8153,41.98753364
141.65,-133198.8153,41.98753276
141.66,-133198.8153,41.98753189
141.67,-133198.8153,41.98753101
141.68,-133198.8153,41.98753014
141.69,-133198.8153,41.98752926
141.7,-133198.8153,41.98752839
141.71,-133198.8153,41.98752752
141.72,-133198.8153,41.98752664
141.73,-133198.8153,41.98752577
141.74,-133198.8153,41.98752489
141.75,-133198.8153,41.98752402
141.76,-133198.8153,41.98752314
141.77,-133198.8153,41.98752227
141.78,-133198.8153,41.98752139
141.79,-133198.8153,41.98752052
141.8,-133198.8153,41.98751964
141.81,-133198.8153,41.98751877
141.82,-133198.8153,41.98751789
141.83,-133198.8153,41.98751702
141.84,-133198.8153,41.98751614
141.85,-133198.8153,41.98751527
141.86,-133198.8153,41.98751439
141.87,-133198.8153,41.98751352
141.88,-133198.8153,41.98751264
141.89,-133198.8153,41.98751177
141.9,-133198.8153,41.9875109
141.91,-133198.8153,41.98751002
141.92,-133198.8153,41.98750915
141.93,-133198.8153,41.98750827
141.94,-133198.8153,41.9875074
141.95,-133198.8153,41.98750652
141.96,-133198.8153,41.98750565
141.97,-133198.8153,41.98750477
141.98,-133198.8153,41.9875039
141.99,-133198.8153,41.98750302
142,-133198.8153,41.98750215
142.01,-133198.8153,41.98750127
