time,currentSensor1.i_ref,currentSensor1.i_sim,currentSensor1.i_relerr,currentSensor2.i_ref,currentSensor2.i_sim,currentSensor2.i_relerr,integrator1.y_ref,integrator1.y_sim,integrator1.y_relerr,der1.y_ref,der1.y_sim,der1.y_relerr,integrator2.y_ref,integrator2.y_sim,integrator2.y_relerr,der2.y_ref,der2.y_sim,der2.y_relerr
1.45e-05,69393.867,3599.221753,0.657947,2298.6418,1.818921285e-08,0.0229864,0.18478322,0.008137380149,0.00410975,8327596000,788594349.5,0.293948,0.001745144,1.364392188e-14,4.07188e-05,2493416200,0.02020475528,0.17793
1.46e-05,70216.195,3678.073776,0.665381,2558.6208,2.030146634e-08,0.0255862,0.19176391,0.008501246009,0.00426369,8119845900,788098397.9,0.285867,0.0019877946,1.556459925e-14,4.63805e-05,2708090900,0.0220606935,0.193249
1.47e-05,71018.008,3756.858664,0.672612,2840.6475,2.260551738e-08,0.0284065,0.19882579,0.00887299371,0.00441934,7917146100,787602827,0.277983,0.0022575413,1.770534623e-14,5.26744e-05,2934382600,0.0240416107,0.209397
1.48e-05,71799.789,3835.593787,0.679642,3145.8857,2.511413713e-08,0.0314589,0.20596685,0.009252616909,0.00457665,7719374300,787107490.8,0.270291,0.0025566558,2.009294628e-14,5.96536e-05,3172329200,0.02615299151,0.226377
1.49e-05,72562.039,3914.279336,0.686478,3475.501,2.784065108e-08,0.034755,0.2131851,0.009640110805,0.00473557,7526411300,786612387.8,0.262787,0.0028874809,2.274512286e-14,6.73726e-05,3421907700,0.02840043801,0.244186
1.5e-05,73305.227,3992.915481,0.693123,3830.6521,3.079895078e-08,0.0383065,0.22047862,0.01003547059,0.00489606,7338139100,786117517,0.255465,0.0032525382,2.56816861e-14,7.58904e-05,3683029000,0.03078966969,0.26282
1.51e-05,74029.82,4071.502365,0.699583,4212.4863,3.400350562e-08,0.0421249,0.22784553,0.01043869144,0.00505807,7154444300,785622877.2,0.248322,0.0036544518,2.892453283e-14,8.52681e-05,3955533100,0.03332652345,0.282266
1.52e-05,74736.266,4150.040113,0.705862,4622.1304,3.746937455e-08,0.0462213,0.23528399,0.01084976851,0.00522157,6975216100,785128467.7,0.241353,0.0040959218,3.249764651e-14,9.55687e-05,4239184400,0.03601695358,0.302507
1.53e-05,75425.008,4228.528824,0.711965,5060.6846,4.12122178e-08,0.0506069,0.2427922,0.01126869698,0.0053865,6800345100,784634287.7,0.234554,0.0045797783,3.642709729e-14,0.000106858,4533667300,0.03886703169,0.323521
1.5400001e-05,76096.477,4306.969359,0.717895,5529.2119,4.524835054e-08,0.0552921,0.25036842,0.01169547628,0.00555284,6629725200,784140331.8,0.227921,0.0051089879,4.074108716e-14,0.000119206,4838582800,0.04188297778,0.34528
1.55e-05,76751.094,4385.359421,0.723657,6028.7324,4.959454514e-08,0.0602873,0.25801092,0.01213008863,0.00572053,6463254000,783646614.4,0.22145,0.0056866072,4.54697241e-14,0.000132684,5153442800,0.04507100509,0.367748
1.5600001e-05,77389.266,4463.702177,0.729256,6560.2129,5.426851021e-08,0.0656021,0.26571807,0.01257254653,0.00588955,6300830700,783153115.5,0.215136,0.006315731,5.064552788e-14,0.000147363,5477671400,0.04843766481,0.390885
1.5699999e-05,78011.391,4541.993719,0.734694,7124.5566,5.928818932e-08,0.0712456,0.27348825,0.01302282286,0.00605985,6142356000,782659859.8,0.208976,0.0069996384,5.630264874e-14,0.00016332,5810598900,0.05198932658,0.414643
1.58e-05,78617.867,4620.238732,0.739976,7722.5972,6.467272644e-08,0.077226,0.28131986,0.01348093972,0.0062314,5987734000,782166817.7,0.202967,0.0077416841,6.24779298e-14,0.000180634,6151463400,0.05573286162,0.438967
1.5899999e-05,79209.062,4698.433264,0.745106,8355.0859,7.044137186e-08,0.0835509,0.2892113,0.01394686942,0.00640416,5836871700,781674014.3,0.197104,0.0085452283,6.920965957e-14,0.000199383,6499409900,0.05967486086,0.463796
1.6e-05,79785.359,4776.580386,0.750088,9022.6836,7.661455436e-08,0.0902269,0.29716116,0.01442062568,0.00657809,5689677800,781181430.1,0.191384,0.009413749,7.653878471e-14,0.000219648,6853492200,0.0638223746,0.489064
1.6100001e-05,80347.117,4854.67845,0.754925,9725.9541,8.321305596e-08,0.0972596,0.30516791,0.0149021943,0.00675317,5546062300,780689075.7,0.185803,0.010350825,8.450794105e-14,0.000241512,7212673000,0.06818233595,0.514695
1.62e-05,80894.688,4932.725791,0.75962,10465.351,9.025833149e-08,0.104654,0.31323013,0.01539156048,0.00692935,5405939200,780196961.5,0.180359,0.011360061,9.316179989e-14,0.00026506,7575830000,0.07276177817,0.540609
1.63e-05,81428.422,5010.724623,0.764177,11241.213,9.777290375e-08,0.112412,0.3213464,0.01588873383,0.00710662,5269222400,779705073.8,0.175048,0.012445007,1.025475472e-13,0.000290375,7941759500,0.07756807935,0.566722
1.6399999e-05,81948.648,5088.673236,0.7686,12053.753,1.057796705e-07,0.120538,0.32951537,0.01639369943,0.00728492,5135830500,779213423.5,0.169866,0.01360938,1.127140177e-13,0.000317543,8309182500,0.08260850436,0.592941
1.65e-05,82455.695,5166.573794,0.772891,12903.054,1.143026699e-07,0.129031,0.33773568,0.01690646756,0.00746424,5005681700,778721996.9,0.16481,0.014856883,1.237126388e-13,0.000346651,8676753400,0.08789068626,0.619171
1.6600001e-05,82949.883,5244.424542,0.777055,13789.062,1.233662919e-07,0.137891,0.34600607,0.01742702322,0.00764455,4878697500,778230805.4,0.159878,0.016191136,1.355964136e-13,0.000377782,9043065900,0.09342212217,0.645311
