time,basicTransformer.i1,basicTransformer.i2,inductor21.iˍt,idealTransformer.p2.i,basicTransformer.i1ˍt,inductor22.i
2.450604038,1.394309077,0.02619218251,-0.3661978621,-0.001283988714,-0.4471131877,0.001283988714
2.453867476,1.394900629,0.0244788885,0.8875053517,-0.002991094801,0.8121098136,0.002991094801
2.457130914,1.399596486,0.01471648068,2.104037075,-0.01278804106,2.059387415,0.01278804106
2.460521878,1.408688239,-0.003510621975,3.274054674,-0.03109412836,3.286678478,0.03109412836
2.463956801,1.421938303,-0.02953332568,4.308070869,-0.05723959288,4.402387707,0.05723959288
2.467535161,1.439493787,-0.06343091097,5.17207244,-0.09130645688,5.372746341,0.09130645688
2.471286988,1.461158405,-0.104563829,5.797781496,-0.1326550076,6.127463619,0.1326550076
2.47532383,1.486960021,-0.1526375836,6.112257563,-0.1809932987,6.592667228,0.1809932987
2.479985102,1.51801989,-0.209121517,5.988787298,-0.2378062878,6.646234392,0.2378062878
2.484744323,1.548712211,-0.2630898185,5.336800668,-0.2921128537,6.163336641,0.2921128537
2.489503544,1.575889534,-0.308557735,4.211146028,-0.3378958832,5.180069342,0.3378958832
2.494262765,1.597361756,-0.3414853851,2.711731037,-0.3710919022,3.783688809,0.3710919022
2.498484106,1.610262423,-0.3578096438,1.17565241,-0.3875992938,2.298596056,0.3875992938
2.502101891,1.61610693,-0.3612087499,-0.2105084918,-0.3911063407,0.9229242323,0.3911063407
2.505719676,1.616915768,-0.3546231728,-1.585864784,-0.3845795355,-0.4732394387,0.3845795355
2.509337461,1.612745017,-0.3383897336,-2.879632928,-0.3683546012,-1.818047069,0.3683546012
2.512963428,1.603882061,-0.3132759457,-4.027624805,-0.3432003953,-3.04489706,0.3432003953
2.516684549,1.590497075,-0.2796591828,-4.988860117,-0.3094954487,-4.111621335,0.3094954487
2.5205269,1.572997533,-0.2385369845,-5.696053208,-0.2682398332,-4.947799343,0.2682398332
2.524599861,1.551619151,-0.1904695218,-6.084387682,-0.2199950767,-5.486851067,0.2199950767
2.529163102,1.526074515,-0.1349469262,-6.04848231,-0.1642474319,-5.624980908,0.1642474319
2.53431936,1.497952832,-0.07557392902,-5.415435878,-0.1046135883,-5.177967689,0.1046135883
2.538512976,1.477797106,-0.0340291397,-4.48013736,-0.0628732605,-4.372782756,0.0628732605
2.542710848,1.46173684,-0.001618985051,-3.234168462,-0.03030015159,-3.228257152,0.03030015159
2.546908721,1.451057062,0.01937184915,-1.764500307,-0.009193425577,-1.824210994,0.009193425577
2.550606084,1.446825647,0.02722854011,-0.365411188,-0.001282491745,-0.4495825384,0.001282491745
2.553869351,1.447409027,0.02551023488,0.8882200273,-0.00299442444,0.8095841652,0.00299442444
2.557132619,1.452096264,0.01574379519,2.104653705,-0.01279521423,2.056776348,0.01279521423
2.560523803,1.461179813,-0.002488929374,3.274681559,-0.03110673455,3.284095292,0.03110673455
2.563960089,1.474426859,-0.0285274952,4.308971763,-0.05726792111,4.400128285,0.05726792111
2.567537521,1.491968929,-0.06242140832,5.172560459,-0.09133087123,5.370062487,0.09133087123
2.571289823,1.513626049,-0.1035629712,5.798136282,-0.1326878778,6.124673615,0.1326878778
2.57532662,1.539415585,-0.1516382097,6.112340551,-0.1810274105,6.589610046,0.1810274105
2.57998867,1.570465639,-0.2081310019,5.988493223,-0.2378490247,6.642827873,0.2378490247
2.584746612,1.601132916,-0.2620814044,5.336366622,-0.2921372906,6.159734031,0.2921372906
2.589504555,1.628285929,-0.3075337987,4.210863085,-0.3379043974,5.176569201,0.3379043974
2.594262498,1.64973647,-0.3404518629,2.711823599,-0.3710904502,3.780534173,0.3710904502
2.598483252,1.662622503,-0.3567758528,1.175975224,-0.3875972858,2.295670858,0.3875972858
2.602100824,1.668456261,-0.3601776406,-0.2100975434,-0.3911067896,0.9200955864,0.3911067896
2.605718395,1.669254966,-0.3535958955,-1.585388088,-0.3845835981,-0.475990316,0.3845835981
2.609335966,1.665074606,-0.3373672138,-2.8791246,-0.3683632091,-1.820751396,0.3683632091
2.612962947,1.65619865,-0.3122489258,-4.027485024,-0.3432042733,-3.047984082,0.3432042733
2.616684383,1.642800829,-0.2786301846,-4.988822912,-0.3094971074,-4.114817145,0.3094971074
2.620527295,1.625286207,-0.2375020962,-5.696109449,-0.2682353359,-4.951107072,0.2682353359
2.624600683,1.603892083,-0.1894294098,-6.084426488,-0.219985073,-5.49015773,0.219985073
2.629164528,1.578329169,-0.1338998958,-6.048392695,-0.1642301848,-5.62818082,0.1642301848
2.634320594,1.550192434,-0.07453109677,-5.415213054,-0.1046002224,-5.181021214,0.1046002224
2.63851456,1.530022603,-0.03298574768,-4.479720588,-0.06285905966,-4.375644062,0.06285905966
2.64271247,1.513950458,-0.0005795553512,-3.233637614,-0.03028965959,-3.230991946,0.03028965959
2.64691038,1.503259319,0.02040639443,-1.763888145,-0.009187570366,-1.826849153,0.009187570366
2.65060814,1.499018057,0.02825851409,-0.3646206664,-0.00128099071,-0.4520279844,0.00128099071
2.653871223,1.499593333,0.02653519898,0.8889332485,-0.002997750036,0.8070771147,0.002997750036
2.657134305,1.504271983,0.01676479623,2.105263958,-0.01280231557,2.054178741,0.01280231557
2.660525681,1.513347278,-0.001473317125,3.275293128,-0.03111903602,3.281515894,0.03111903602
2.663963158,1.526590562,-0.02752618159,4.309812702,-0.05729437468,4.397823106,0.05729437468
2.667539624,1.544118875,-0.06141564744,5.172995317,-0.09135263291,5.367337239,0.09135263291
2.671292333,1.565767959,-0.1025647487,5.798450266,-0.1327169837,6.12185111,0.1327169837
2.675329026,1.591544951,-0.1506405418,6.112411956,-0.1810568241,6.586546675,0.1810568241
2.679991718,1.622584358,-0.2071406727,5.98824175,-0.2378855341,6.639464591,0.2378855341
2.684748512,1.653227745,-0.2610752272,5.336006434,-0.2921575632,6.156212347,0.2921575632
2.689505306,1.680357608,-0.3065140586,4.210652977,-0.3379107195,5.173155103,0.3379107195
2.6942621,1.701787426,-0.3394240097,2.711961216,-0.3710882907,3.777442412,0.3710882907
2.698482324,1.714659232,-0.3557482559,1.176326373,-0.3875951008,2.292793461,0.3875951008
2.702099711,1.720482445,-0.3591529175,-0.2096690717,-0.3911072567,0.9173045304,0.3911072567
2.705717098,1.721271141,-0.3525750334,-1.584905404,-0.3845877105,-0.4787150485,0.3845877105
