time,spring.w_rel_ref,spring.w_rel_sim,spring.w_rel_relerr
2.624,1.295722012e-09,2.073119454e-11,2.84008e-07
2.6248,1.248241687e-09,2.002864541e-11,2.73589e-07
2.6256,1.200736204e-09,1.93202121e-11,2.63164e-07
2.6264,1.153219605e-09,1.860611665e-11,2.52739e-07
2.6272,1.105705931e-09,1.788669213e-11,2.42315e-07
2.628,1.058209222e-09,1.716216058e-11,2.31897e-07
2.6288,1.010743521e-09,1.643285508e-11,2.21486e-07
2.6296,9.633228688e-10,1.569933072e-11,2.11086e-07
2.6304,9.159613059e-10,1.496158752e-11,2.00701e-07
2.6312,8.686728737e-10,1.422006957e-11,1.90332e-07
2.632,8.214716134e-10,1.347510992e-11,1.79984e-07
2.6328,7.743715663e-10,1.272704164e-11,1.69659e-07
2.6336,7.273867735e-10,1.197586474e-11,1.5936e-07
2.6344,6.805312762e-10,1.122224536e-11,1.49091e-07
2.6352,6.338191155e-10,1.046640552e-11,1.38854e-07
2.636,5.872643328e-10,9.708456261e-12,1.28653e-07
2.6368,5.408809691e-10,8.948841668e-12,1.1849e-07
2.6376,4.946830656e-10,8.187783784e-12,1.08368e-07
2.6384,4.486846635e-10,7.425615678e-12,9.82919e-08
2.6392,4.02899804e-10,6.662448371e-12,8.82632e-08
2.64,3.573425283e-10,5.898836974e-12,7.82853e-08
2.6408,3.120268776e-10,5.134781489e-12,6.83612e-08
2.6416,2.66966893e-10,4.370726003e-12,5.84942e-08
2.6424,2.221766157e-10,3.606892562e-12,4.86871e-08
2.6432,1.77670087e-10,2.843392188e-12,3.89432e-08
2.644,1.334613479e-10,2.080891015e-12,2.92654e-08
2.6448,8.956443971e-11,1.319166998e-12,1.96569e-08
2.6456,4.599340357e-11,5.587752483e-13,1.01207e-08
2.6464,2.762280662e-12,-2.001732113e-13,6.59897e-10
2.6472,-4.011488782e-11,-9.573453141e-13,8.72247e-09
2.648,-8.262406071e-11,-1.712519015e-12,1.80233e-08
2.6488,-1.247511968e-10,-2.465472271e-12,2.72396e-08
2.6496,-1.664822549e-10,-3.215983035e-12,3.63681e-08
2.6504,-2.078031939e-10,-3.963829265e-12,4.54059e-08
2.6512,-2.486999726e-10,-4.70856687e-12,5.43499e-08
2.652,-2.891585497e-10,-5.45019585e-12,6.3197e-08
2.6528,-3.291648841e-10,-6.188494162e-12,7.19441e-08
2.6536,-3.687049347e-10,-6.923128737e-12,8.05881e-08
2.6544,-4.077646602e-10,-7.653877532e-12,8.9126e-08
2.6552,-4.463300194e-10,-8.380629524e-12,9.75547e-08
2.656,-4.90879685e-10,-9.103051646e-12,1.07317e-07
